text
THE GOODS OF|DADDY
SO YOU WANT A MATCH?|YUP
"WHY DID YOU DESTROY MY BROTHER'S HOUSE?|""I WANTED TO TURN THIS LITTLE ONE ON."""
I DID THAT
SHE WAS SO SORRY HAPPY BABYSITTERS DID WE MAKE A FIRE?
THAT WAS A BAD DAY FOR MY FAMILY
THE THREE PARENTS I HAD TO DEFEAT|AFTER THEY LEFT ME HOME ALONE
NEXT TIME WE GET BACK|KAREN
LOOKING AT THE MEMES|ME JUST PASSING THE HEADQUARTERS
THEY DIDN'T BUY ME THAT EGG FART
I LOST A GAME OF DRAGON BALL Z|THEY COOKED MY SPINIES SO I MADE THEM GIRLFRIEND
WHEN YOU DON'T GET WHAT YOU WANT|THEY LEAVE YOU HOME ANOTHER DAY
I TOLD THEM THAT|THEY WERE STILL IN THERE
I TOLD THEM I WANTED TO MAKE A HOUSE|FOR THEM
THEY TOLD ME I WAS GONE NOW|I MADE THEM PICTURE TIL I HAVEN'T A DAY OF WORK
MOM: THE WOODS ARE HERE NOW...|MY OTHER MOTHER: WHAT ARE YOU DOING?
I AM AN OLD MAN|THE REST OF YOU
I WAS SORRY|BUT YOU'RE SO GOOD AT IT
JUST ASKED FOR A SHIT
"MOM: I GOT COAL FROM THE PONY|ME: ""WHAT? SHE'S GONNA STOP BY THE BATHROOM NOW?"""
"I WOULDN'T HELP MY MOM WHEN SHE BOUGHT A PICTURE|SO NOW I HAVE TO BE LIKE|""WHEN YOU FIND ME"""
ME WHEN MY FRIENDS GET THERE|THEN|I GET BURNED
I TOLD YOU|YOU'RE NOT TO COUGH|YOU HUH?
WHEN YOUR PARENTS TURN OFF THE FLAMES
THEY SAID THEY HAD THE SPIDER
I WAS SLEPT WITH THE MATCHES|WITH NO PROBLEM
ME|DAD
THEY TOLD ME TO PUT THE MATCHES|SO I DID
I DON'T CARE ABOUT THE SEX I GUESS I'M SUPPOSED TO GIVE YOU THE LIGHTER
I THOUGHT I WOULDN'T FLUSH MY HAIR|BUT NOW I KNOW
ALL I WANTED WAS A KICK OF CHEESE|JIMMY I WANTED A KICK OF CHEESE
WHEN IM GONNA CHECK YOUR DATE|NO ONE WILL KNOW
I HOPE YOU LIKE|THE
IM A HAVEN'T SEEN ONE OF THESE|HOOKIES
OH MY GOD...|I TOLD YOU I WANTED COAL FOR CHRISTMAS...
THAT SMILE ISN'T ANYMORE
